an man on a cat ate John outside a pajamas on Bob on the man by my man with a elephant on the park,"[['PETS', 0.955538], ['SPORTS', 0.0204214], ['SCIENCE', 0.00362209], ['ARTS AND ENTERTAINMENT', 0.00196825], ['HOBBIES AND INTERESTS', 0.000707279]]","[['CATS', 0.34], ['PROFANE CONTENT', 0.24], ['PETS', 0.12], ['NON-STANDARD CONTENT', 0.1]]",True,1,1,20:22:28.436040
an man on a cat killed Mary outside the telescope outside Bob on the elephant by my monkey with a monkey on an park,"[['PETS', 0.805984], ['FAMILY AND PARENTING', 0.192771], ['HOBBIES AND INTERESTS', 0.000996774], ['NON STANDARD CONTENT', 5.86936e-05], ['SCIENCE', 2.89685e-05]]","[['CATS', 0.3], ['PETS', 0.11]]",False,12,1,20:23:13.444053
an man on a cat killed Mary outside the telescope outside John on the elephant by my monkey with a monkey on an park,"[['PETS', 0.823365], ['FAMILY AND PARENTING', 0.17563], ['HOBBIES AND INTERESTS', 0.000699495], ['NON STANDARD CONTENT', 5.42892e-05], ['SCIENCE', 2.91287e-05]]","[['CATS', 0.31], ['PETS', 0.11]]",False,13,1,20:23:17.138279
an man on a cat killed Mary outside the telescope outside Bob on the elephant by my monkey with a monkey on an park,"[['PETS', 0.805984], ['FAMILY AND PARENTING', 0.192771], ['HOBBIES AND INTERESTS', 0.000996774], ['NON STANDARD CONTENT', 5.86936e-05], ['SCIENCE', 2.89685e-05]]","[['CATS', 0.3], ['PETS', 0.11]]",False,13,1,20:23:20.857335
an man on a cat saw Mary outside the telescope outside Bob on the elephant by my monkey with a monkey on an park,"[['FAMILY AND PARENTING', 0.612034], ['PETS', 0.384465], ['HOBBIES AND INTERESTS', 0.00264154], ['SCIENCE', 0.000182477], ['NON STANDARD CONTENT', 0.000173676]]","[['CATS', 0.32], ['PETS', 0.1]]",False,14,1,20:23:24.521384
an man on a cat walked Mary outside the telescope outside Bob on the elephant by my monkey with a monkey on an park,"[['PETS', 0.998083], ['FAMILY AND PARENTING', 0.0018983], ['HOBBIES AND INTERESTS', 1.43851e-05], ['SPORTS', 1.04341e-06], ['SCIENCE', 5.8075e-07]]","[['CATS', 0.31], ['PETS', 0.1]]",False,15,1,20:23:28.512776
an man on a cat walked Mary outside the telescope outside Bob on the elephant by my park with a monkey on an park,"[['PETS', 0.9985], ['FAMILY AND PARENTING', 0.00149193], ['HOBBIES AND INTERESTS', 2.17175e-06], ['SCIENCE', 1.62869e-06], ['SPORTS', 1.25752e-06]]","[['CATS', 0.33], ['PETS', 0.13]]",False,16,1,20:23:32.509481
an man on a cat walked Mary outside the telescope outside Bob on the elephant outside my park with a monkey on an park,"[['PETS', 0.997505], ['FAMILY AND PARENTING', 0.00247444], ['SCIENCE', 4.30487e-06], ['HOBBIES AND INTERESTS', 4.01985e-06], ['SPORTS', 3.39937e-06]]","[['CATS', 0.33], ['PETS', 0.13]]",False,17,1,20:23:37.131297
my man on a cat walked Mary outside the telescope outside Bob on the elephant outside my park with a monkey on an park,"[['PETS', 0.996505], ['FAMILY AND PARENTING', 0.00338797], ['SPORTS', 8.51254e-05], ['HOBBIES AND INTERESTS', 4.96289e-06], ['SCIENCE', 3.57324e-06]]","[['CATS', 0.33], ['PETS', 0.13]]",False,18,1,20:23:40.787952
my man on a cat walked John outside the telescope outside Bob on the elephant outside my park with a monkey on an park,"[['PETS', 0.996972], ['FAMILY AND PARENTING', 0.00289186], ['SPORTS', 0.000105518], ['HOBBIES AND INTERESTS', 4.47436e-06], ['SCIENCE', 3.53201e-06]]","[['CATS', 0.33], ['PETS', 0.14]]",False,19,1,20:23:45.200899
my man on a cat walked John on the telescope outside Bob on the elephant outside my park with a monkey on an park,"[['PETS', 0.9974], ['FAMILY AND PARENTING', 0.00250313], ['SPORTS', 6.98626e-05], ['HOBBIES AND INTERESTS', 4.68306e-06], ['SCIENCE', 3.11075e-06]]","[['CATS', 0.33], ['PETS', 0.14]]",False,20,1,20:23:49.069547
my man on a cat walked John on the telescope outside John on the elephant outside my park with a monkey on an park,"[['PETS', 0.997437], ['FAMILY AND PARENTING', 0.00245974], ['SPORTS', 6.94498e-05], ['HOBBIES AND INTERESTS', 3.97028e-06], ['SCIENCE', 2.85796e-06]]","[['CATS', 0.33], ['PETS', 0.13]]",False,21,1,20:23:53.283015
my man on a cat walked John on the telescope outside John on the elephant outside my park with a man on an park,"[['PETS', 0.999595], ['SPORTS', 0.000321188], ['SCIENCE', 9.14882e-06], ['HOBBIES AND INTERESTS', 6.66569e-06], ['TRAVEL', 6.51022e-06]]","[['CATS', 0.32], ['PETS', 0.14]]",False,22,1,20:23:57.193949
my man on a cat walked John on the telescope outside John on the elephant outside the park with a man on an park,"[['PETS', 0.999681], ['SPORTS', 0.000158748], ['TRAVEL', 3.94002e-05], ['SCIENCE', 1.99503e-05], ['HOBBIES AND INTERESTS', 7.91234e-06]]","[['CATS', 0.32], ['PETS', 0.14]]",False,23,1,20:24:01.187866
my man on a cat killed John on the telescope outside John on the elephant outside the park with a man on an park,"[['PETS', 0.58011], ['RELIGION AND SPIRITUALITY', 0.396404], ['SPORTS', 0.00937022], ['TRAVEL', 0.00539377], ['SCIENCE', 0.00119683]]","[['CATS', 0.31], ['PETS', 0.15]]",False,24,1,20:24:04.860619
my man on a cat killed John on the fish outside John on the elephant outside the park with a man on an park,"[['PETS', 0.872687], ['RELIGION AND SPIRITUALITY', 0.109141], ['TRAVEL', 0.00831417], ['SPORTS', 0.00368467], ['SCIENCE', 0.000273095]]","[['PETS', 0.35], ['AQUARIUMS', 0.27]]",False,25,1,20:24:08.570263
my man on a cat killed John on the fish outside John on the elephant outside the park on a man on an park,"[['PETS', 0.82146], ['RELIGION AND SPIRITUALITY', 0.141784], ['TRAVEL', 0.0235737], ['SPORTS', 0.0047771], ['SCIENCE', 0.000994253]]","[['PETS', 0.35], ['AQUARIUMS', 0.27]]",False,26,1,20:24:12.226196
my man on a cat killed John on the fish with John on the elephant outside the park on a man on an park,"[['PETS', 0.859646], ['RELIGION AND SPIRITUALITY', 0.107968], ['TRAVEL', 0.0210172], ['SPORTS', 0.00296273], ['SCIENCE', 0.00080994]]","[['PETS', 0.35], ['AQUARIUMS', 0.27]]",False,27,1,20:24:15.922976
my man on a cat killed John on the fish with Mary on the elephant outside the park on a man on an park,"[['PETS', 0.817712], ['SPORTS', 0.130379], ['RELIGION AND SPIRITUALITY', 0.0365301], ['TRAVEL', 0.0101682], ['HOBBIES AND INTERESTS', 0.00091596]]","[['PETS', 0.36], ['AQUARIUMS', 0.28]]",False,28,1,20:24:19.597340
my man on a cat killed I on the fish with Mary on the elephant outside the park on a man on an park,"[['PETS', 0.906985], ['SPORTS', 0.076561], ['TRAVEL', 0.0116805], ['HOBBIES AND INTERESTS', 0.00126217], ['SCIENCE', 0.00039646]]","[['PETS', 0.38], ['AQUARIUMS', 0.31]]",False,29,1,20:24:24.718121
my man on a cat killed John on the fish with Mary on the elephant outside the park on a man on an park,"[['PETS', 0.817712], ['SPORTS', 0.130379], ['RELIGION AND SPIRITUALITY', 0.0365301], ['TRAVEL', 0.0101682], ['HOBBIES AND INTERESTS', 0.00091596]]","[['PETS', 0.36], ['AQUARIUMS', 0.28]]",False,29,1,20:24:28.988889
my man on a cat ate John on the fish with Mary on the elephant outside the park on a man on an park,"[['PETS', 0.88443], ['SPORTS', 0.104753], ['TRAVEL', 0.00644192], ['HOBBIES AND INTERESTS', 0.000470081], ['SCIENCE', 0.000364682]]","[['PETS', 0.32], ['AQUARIUMS', 0.3]]",False,30,1,20:24:33.742576
my man on a cat ate John on the fish with Mary on the elephant by the park on a man on an park,"[['PETS', 0.871913], ['SPORTS', 0.116937], ['TRAVEL', 0.0070823], ['HOBBIES AND INTERESTS', 0.000568179], ['SCIENCE', 0.000355825]]","[['PETS', 0.32], ['AQUARIUMS', 0.3]]",False,31,1,20:24:37.636577
my man on a cat ate John on the park with Mary on the elephant by the park on a man on an park,"[['TRAVEL', 0.631225], ['PETS', 0.286053], ['SPORTS', 0.0754231], ['HOBBIES AND INTERESTS', 0.000291927], ['SCIENCE', 0.000233092]]","[['NATIONAL PARKS', 0.61], ['CATS', 0.32], ['PETS', 0.15], ['TRAVEL', 0.12]]",False,32,1,20:24:41.556320
my man on a cat ate John on the park with Mary on the elephant by the park on a man by an park,"[['TRAVEL', 0.510883], ['PETS', 0.378125], ['SPORTS', 0.101211], ['HOBBIES AND INTERESTS', 0.000269822], ['SCIENCE', 9.31503e-05]]","[['NATIONAL PARKS', 0.61], ['CATS', 0.32], ['PETS', 0.15], ['TRAVEL', 0.12]]",False,33,1,20:24:45.302430
my man on a cat ate John on the park with Mary on the man by the park on a man by an park,"[['PETS', 0.741685], ['TRAVEL', 0.134147], ['SPORTS', 0.105881], ['SCIENCE', 0.000288117], ['HOBBIES AND INTERESTS', 0.000269243]]","[['NATIONAL PARKS', 0.59], ['CATS', 0.35], ['TRAVEL', 0.12], ['PETS', 0.11]]",False,34,1,20:24:49.058900
my man on a cat ate John on the park with Mary on the man by the park on a man in an park,"[['PETS', 0.782427], ['SPORTS', 0.111284], ['TRAVEL', 0.0981669], ['SCIENCE', 0.000225064], ['HOBBIES AND INTERESTS', 0.000221461]]","[['NATIONAL PARKS', 0.59], ['CATS', 0.35], ['TRAVEL', 0.12], ['PETS', 0.11]]",False,35,1,20:24:52.920656
my man on a cat ate John on the park with Mary on the man by the park on an man in an park,"[['PETS', 0.753189], ['TRAVEL', 0.163589], ['SPORTS', 0.0767575], ['SCIENCE', 0.000224348], ['HOBBIES AND INTERESTS', 0.000218477]]","[['NATIONAL PARKS', 0.59], ['CATS', 0.35], ['TRAVEL', 0.12], ['PETS', 0.11]]",False,36,1,20:24:56.981751
my man on a cat ate Mary on the park with Mary on the man by the park on an man in an park,"[['SPORTS', 0.997729], ['PETS', 0.00202913], ['TRAVEL', 0.000220324], ['HOBBIES AND INTERESTS', 8.32569e-07], ['SCIENCE', 6.73796e-07]]","[['NATIONAL PARKS', 0.55], ['CATS', 0.32], ['TRAVEL', 0.12], ['PETS', 0.1]]",False,37,1,20:25:00.674210
my man on a fish ate Mary on the park with Mary on the man by the park on an man in an park,"[['SPORTS', 0.999483], ['TRAVEL', 0.000448477], ['SCIENCE', 3.48951e-06], ['HOBBIES AND INTERESTS', 6.20153e-07], ['RELIGION AND SPIRITUALITY', 4.63947e-07]]","[['NATIONAL PARKS', 0.57], ['AQUARIUMS', 0.32], ['PETS', 0.12], ['TRAVEL', 0.12]]",True,38,2,20:25:04.297402
my man on a fish ate Bob on the park with Mary on the man by the park on an man in an park,"[['TRAVEL', 0.603248], ['SPORTS', 0.31401], ['SCIENCE', 0.00215984], ['HOBBIES AND INTERESTS', 0.000445941], ['SOCIETY', 0.000334285]]","[['NATIONAL PARKS', 0.59], ['AQUARIUMS', 0.33], ['PETS', 0.13], ['TRAVEL', 0.12]]",True,39,3,20:25:08.205320
my man on a fish ate Bob on the park with Mary on the man by the park with an man in an park,"[['TRAVEL', 0.476995], ['SPORTS', 0.420177], ['SCIENCE', 0.00104272], ['HOBBIES AND INTERESTS', 0.000549739], ['SOCIETY', 0.000432822]]","[['NATIONAL PARKS', 0.59], ['AQUARIUMS', 0.33], ['PETS', 0.13], ['TRAVEL', 0.12]]",True,40,4,20:25:12.341108
my man on a fish ate Bob on the park with Mary on my man by the park with an man in an park,"[['SPORTS', 0.9863], ['TRAVEL', 0.00733668], ['SCIENCE', 3.46195e-05], ['HEALTH AND FITNESS', 1.03839e-05], ['HOBBIES AND INTERESTS', 8.31465e-06]]","[['NATIONAL PARKS', 0.59], ['AQUARIUMS', 0.33], ['PETS', 0.13], ['TRAVEL', 0.12]]",True,41,5,20:25:16.352466
my man on a fish ate Bob on the park with Mary on my elephant by the park with an man in an park,"[['TRAVEL', 0.701711], ['SPORTS', 0.274793], ['SCIENCE', 0.000235237], ['HOBBIES AND INTERESTS', 0.000126686], ['HEALTH AND FITNESS', 6.85609e-05]]","[['AQUARIUMS', 0.32], ['PETS', 0.17]]",True,42,6,20:25:20.026106
my man on a park ate Bob on the park with Mary on my elephant by the park with an man in an park,"[['TRAVEL', 0.959708], ['SPORTS', 0.0229462], ['HOBBIES AND INTERESTS', 1.10314e-05], ['SCIENCE', 8.63587e-06], ['HEALTH AND FITNESS', 7.28823e-06]]","[['NATIONAL PARKS', 0.63], ['TRAVEL', 0.15]]",False,43,6,20:25:23.701198
my man on a park ate I on the park with Mary on my elephant by the park with an man in an park,"[['TRAVEL', 0.979832], ['SPORTS', 0.0114462], ['SCIENCE', 8.01492e-06], ['HOBBIES AND INTERESTS', 6.94183e-06], ['PETS', 6.90676e-06]]","[['NATIONAL PARKS', 0.63], ['TRAVEL', 0.16]]",False,44,6,20:25:27.401707
my man on a park ate I on the park with Mary on my elephant by the park with an man in an monkey,"[['TRAVEL', 0.973588], ['SPORTS', 0.0239058], ['SCIENCE', 1.60001e-05], ['HOBBIES AND INTERESTS', 1.2689e-05], ['PETS', 7.82794e-06]]","[['NATIONAL PARKS', 0.61], ['TRAVEL', 0.13]]",False,45,6,20:25:31.077965
my man on a park ate Bob on the park with Mary on my elephant by the park with an man in an monkey,"[['TRAVEL', 0.945891], ['SPORTS', 0.0490754], ['HOBBIES AND INTERESTS', 2.77102e-05], ['SCIENCE', 1.71731e-05], ['HEALTH AND FITNESS', 1.22451e-05]]","[['NATIONAL PARKS', 0.59], ['TRAVEL', 0.13]]",False,46,6,20:25:35.072100
my man on a park killed Bob on the park with Mary on my elephant by the park with an man in an monkey,"[['TRAVEL', 0.999994], ['SPORTS', 4.66054e-06], ['HOBBIES AND INTERESTS', 1.32568e-08], ['SCIENCE', 2.66663e-09], ['FAMILY AND PARENTING', 1.01238e-09]]","[['NATIONAL PARKS', 0.6], ['TRAVEL', 0.13]]",False,47,6,20:25:39.068180
my man on a park killed Bob on the park with Bob on my elephant by the park with an man in an monkey,"[['TRAVEL', 0.999996], ['SPORTS', 4.84678e-07], ['HOBBIES AND INTERESTS', 1.62964e-08], ['HEALTH AND FITNESS', 5.22766e-09], ['SCIENCE', 3.60688e-09]]","[['NATIONAL PARKS', 0.57], ['TRAVEL', 0.11]]",False,48,6,20:25:43.090019
my man on a park wounded Bob on the park with Bob on my elephant by the park with an man in an monkey,"[['TRAVEL', 0.966431], ['SPORTS', 0.0151771], ['HOBBIES AND INTERESTS', 0.000326911], ['HEALTH AND FITNESS', 0.000102701], ['ARTS AND ENTERTAINMENT', 5.11701e-05]]","[['NATIONAL PARKS', 0.57], ['TRAVEL', 0.11]]",False,49,6,20:25:47.149759
an man on a park wounded Bob on the park with Bob on my elephant by the park with an man in an monkey,"[['TRAVEL', 0.977922], ['SPORTS', 0.00736884], ['HOBBIES AND INTERESTS', 0.000361657], ['HEALTH AND FITNESS', 3.62351e-05], ['PETS', 1.83646e-05]]","[['NATIONAL PARKS', 0.57], ['TRAVEL', 0.11]]",False,50,6,20:25:51.046730
an man on a park wounded Bob on the park with I on my elephant by the park with an man in an monkey,"[['TRAVEL', 0.989916], ['SPORTS', 0.00333757], ['HOBBIES AND INTERESTS', 0.000292632], ['PETS', 1.74202e-05], ['ARTS AND ENTERTAINMENT', 9.17141e-06]]","[['NATIONAL PARKS', 0.6], ['TRAVEL', 0.13]]",False,51,6,20:25:54.738908
an man on a park wounded Bob on the park with John on my elephant by the park with an man in an monkey,"[['TRAVEL', 0.991889], ['SPORTS', 0.00301375], ['HOBBIES AND INTERESTS', 3.85819e-05], ['PETS', 1.19741e-05], ['ARTS AND ENTERTAINMENT', 7.42099e-06]]","[['NATIONAL PARKS', 0.6], ['TRAVEL', 0.12]]",False,52,6,20:25:58.525646
an man on a park wounded Bob on the park with John on my elephant by the park with an man in my monkey,"[['TRAVEL', 0.989733], ['SPORTS', 0.00433007], ['PETS', 3.84813e-05], ['HOBBIES AND INTERESTS', 3.22883e-05], ['ARTS AND ENTERTAINMENT', 3.15139e-05]]","[['NATIONAL PARKS', 0.6], ['TRAVEL', 0.12]]",False,53,6,20:26:02.959299
an man on a park wounded Bob outside the park with John on my elephant by the park with an man in my monkey,"[['TRAVEL', 0.991633], ['SPORTS', 0.00338334], ['HOBBIES AND INTERESTS', 3.03173e-05], ['PETS', 2.84369e-05], ['ARTS AND ENTERTAINMENT', 1.792e-05]]","[['NATIONAL PARKS', 0.6], ['TRAVEL', 0.12]]",False,54,6,20:26:07.161661
an man in a park wounded Bob outside the park with John on my elephant by the park with an man in my monkey,"[['TRAVEL', 0.99128], ['SPORTS', 0.00303614], ['ARTS AND ENTERTAINMENT', 4.63753e-05], ['HOBBIES AND INTERESTS', 4.49546e-05], ['PETS', 3.31465e-05]]","[['NATIONAL PARKS', 0.6], ['TRAVEL', 0.12]]",False,55,6,20:26:10.703388
an man in a park killed Bob outside the park with John on my elephant by the park with an man in my monkey,"[['TRAVEL', 0.999999], ['SPORTS', 1.68723e-07], ['HOBBIES AND INTERESTS', 9.10637e-09], ['SOCIETY', 1.81924e-09], ['SCIENCE', 9.35407e-10]]","[['NATIONAL PARKS', 0.61], ['TRAVEL', 0.12]]",False,56,6,20:26:15.592767
an man in a park killed Bob outside the park with John in my elephant by the park with an man in my monkey,"[['TRAVEL', 0.999998], ['SPORTS', 2.36939e-07], ['HOBBIES AND INTERESTS', 1.56635e-07], ['RELIGION AND SPIRITUALITY', 5.74561e-09], ['ARTS AND ENTERTAINMENT', 4.78691e-09]]","[['NATIONAL PARKS', 0.61], ['TRAVEL', 0.12]]",False,57,6,20:26:19.330624
an man in a park killed Bob outside the park on John in my elephant by the park with an man in my monkey,"[['TRAVEL', 0.999999], ['HOBBIES AND INTERESTS', 4.24647e-08], ['SPORTS', 2.83312e-08], ['SCIENCE', 1.60359e-09], ['RELIGION AND SPIRITUALITY', 1.43047e-09]]","[['NATIONAL PARKS', 0.61], ['TRAVEL', 0.12]]",False,58,6,20:26:23.318772
an man in a park killed Bob outside the park on John in the elephant by the park with an man in my monkey,"[['TRAVEL', 0.999999], ['HOBBIES AND INTERESTS', 9.79703e-09], ['SPORTS', 8.23366e-09], ['SCIENCE', 7.3283e-10], ['PETS', 6.91556e-10]]","[['NATIONAL PARKS', 0.61], ['TRAVEL', 0.12]]",False,59,6,20:26:27.300661
an man in a park killed John outside the park on John in the elephant by the park with an man in my monkey,"[['TRAVEL', 0.999999], ['RELIGION AND SPIRITUALITY', 9.73816e-07], ['HOBBIES AND INTERESTS', 3.98318e-09], ['SPORTS', 2.16739e-09], ['SCIENCE', 4.73375e-10]]","[['NATIONAL PARKS', 0.62], ['TRAVEL', 0.11]]",False,60,6,20:26:30.889775
an man in a park killed John outside the cat on John in the elephant by the park with an man in my monkey,"[['PETS', 0.999932], ['TRAVEL', 6.81763e-05], ['RELIGION AND SPIRITUALITY', 1.47896e-08], ['HOBBIES AND INTERESTS', 3.00739e-11], ['ARTS AND ENTERTAINMENT', 2.86781e-11]]","[['CATS', 0.32], ['PETS', 0.15]]",False,61,6,20:26:34.675520
an man in a park killed John outside the cat on John in the elephant by the park with an man outside my monkey,"[['PETS', 0.999882], ['TRAVEL', 0.000117811], ['RELIGION AND SPIRITUALITY', 1.22396e-08], ['SPORTS', 2.02914e-11], ['HOBBIES AND INTERESTS', 1.04007e-11]]","[['CATS', 0.32], ['PETS', 0.15]]",False,62,6,20:26:38.377689
an man in a park killed John outside the cat on John in the elephant by my park with an man outside my monkey,"[['PETS', 0.999997], ['TRAVEL', 2.64562e-06], ['RELIGION AND SPIRITUALITY', 2.31553e-08], ['ARTS AND ENTERTAINMENT', 3.47347e-11], ['SPORTS', 7.63259e-12]]","[['CATS', 0.32], ['PETS', 0.15]]",False,63,6,20:26:42.348924
an man in a park killed John outside the cat on Mary in the elephant by my park with an man outside my monkey,"[['PETS', 0.999999], ['TRAVEL', 8.54554e-07], ['RELIGION AND SPIRITUALITY', 2.78385e-09], ['ARTS AND ENTERTAINMENT', 1.89098e-11], ['HOBBIES AND INTERESTS', 4.07652e-12]]","[['CATS', 0.33], ['PETS', 0.15]]",False,64,6,20:26:46.111395
my man in a park killed John outside the cat on Mary in the elephant by my park with an man outside my monkey,"[['PETS', 0.999999], ['TRAVEL', 5.08194e-07], ['RELIGION AND SPIRITUALITY', 7.13462e-09], ['SPORTS', 1.79065e-10], ['ARTS AND ENTERTAINMENT', 5.08405e-11]]","[['CATS', 0.33], ['PETS', 0.15]]",False,65,6,20:26:49.725568
my man in a park shot John outside the cat on Mary in the elephant by my park with an man outside my monkey,"[['PETS', 1.0], ['ARTS AND ENTERTAINMENT', 7.13248e-09], ['SPORTS', 2.97306e-10], ['TRAVEL', 4.17446e-11], ['HOBBIES AND INTERESTS', 1.26738e-11]]","[['CATS', 0.36], ['PETS', 0.14]]",False,66,6,20:26:54.648623
my man outside a park shot John outside the cat on Mary in the elephant by my park with an man outside my monkey,"[['PETS', 1.0], ['ARTS AND ENTERTAINMENT', 1.68073e-08], ['SPORTS', 1.11813e-09], ['TRAVEL', 2.76829e-10], ['NON STANDARD CONTENT', 4.28152e-11]]","[['CATS', 0.36], ['PETS', 0.14]]",False,67,6,20:26:58.320302
my man outside a park shot John outside the cat on Mary in the elephant by my park with an fish outside my monkey,"[['PETS', 1.0], ['ARTS AND ENTERTAINMENT', 4.87379e-09], ['SPORTS', 3.13049e-10], ['TRAVEL', 2.80821e-10], ['EDUCATION', 4.97598e-11]]","[['PETS', 0.33], ['CATS', 0.3]]",False,68,6,20:27:02.321488
my man outside a park ate John outside the cat on Mary in the elephant by my park with an fish outside my monkey,"[['PETS', 1.0], ['SPORTS', 7.94277e-11], ['TRAVEL', 7.6776e-11], ['EDUCATION', 3.00921e-11], ['ARTS AND ENTERTAINMENT', 1.24547e-11]]","[['AQUARIUMS', 0.31], ['PETS', 0.31]]",False,69,6,20:27:06.367229
my man outside a park ate Bob outside the cat on Mary in the elephant by my park with an fish outside my monkey,"[['PETS', 1.0], ['SPORTS', 9.26171e-11], ['TRAVEL', 3.47304e-11], ['EDUCATION', 2.33018e-11], ['ARTS AND ENTERTAINMENT', 1.21838e-11]]","[['AQUARIUMS', 0.32], ['PETS', 0.3]]",False,70,6,20:27:09.983648
my man outside a park wounded Bob outside the cat on Mary in the elephant by my park with an fish outside my monkey,"[['PETS', 1.0], ['SPORTS', 1.04448e-10], ['ARTS AND ENTERTAINMENT', 3.09225e-11], ['TRAVEL', 1.67437e-11], ['EDUCATION', 1.11999e-11]]","[['AQUARIUMS', 0.31], ['PETS', 0.3]]",False,71,6,20:27:14.020264
my man outside a telescope wounded Bob outside the cat on Mary in the elephant by my park with an fish outside my monkey,"[['PETS', 1.0], ['SPORTS', 1.76357e-10], ['EDUCATION', 4.79047e-11], ['ARTS AND ENTERTAINMENT', 2.14896e-11], ['SCIENCE', 1.17767e-11]]","[['AQUARIUMS', 0.33], ['PETS', 0.27]]",False,72,6,20:27:18.110049
my man outside a telescope wounded Bob outside the cat on Mary in the elephant by my park with an fish outside my man,"[['PETS', 0.999989], ['SPORTS', 1.12004e-05], ['ARTS AND ENTERTAINMENT', 1.76908e-10], ['SCIENCE', 7.0756e-11], ['EDUCATION', 5.9809e-11]]","[['AQUARIUMS', 0.32], ['PETS', 0.28]]",False,73,6,20:27:22.919165
my man outside a telescope saw Bob outside the cat on Mary in the elephant by my park with an fish outside my man,"[['PETS', 0.999958], ['SPORTS', 4.21579e-05], ['SCIENCE', 4.9866e-10], ['EDUCATION', 3.3911e-10], ['ARTS AND ENTERTAINMENT', 2.23035e-10]]","[['AQUARIUMS', 0.33], ['PETS', 0.31]]",False,74,6,20:27:28.530194
my man outside a telescope walked Bob outside the cat on Mary in the elephant by my park with an fish outside my man,"[['PETS', 0.999926], ['SPORTS', 7.3829e-05], ['SCIENCE', 4.62664e-10], ['EDUCATION', 3.91064e-10], ['ARTS AND ENTERTAINMENT', 2.29832e-10]]","[['AQUARIUMS', 0.32], ['PETS', 0.29]]",False,75,6,20:27:32.166089
